Time,Species.1,Species.2,Species.3
46.5,0.0244496,0.042884,0.0327896
46.6,0.0246002,0.0426352,0.0328868
46.7,0.0247493,0.0423856,0.0329866
46.8,0.024897,0.0421352,0.033089
46.9,0.0250431,0.0418841,0.033194
47,0.0251877,0.0416323,0.0333016
47.1,0.0253307,0.0413799,0.0334119
47.2,0.0254719,0.041127,0.0335247
47.3,0.0256113,0.0408737,0.0336402
47.4,0.0257489,0.04062,0.0337583
47.5,0.0258846,0.040366,0.0338789
47.6,0.0260183,0.0401117,0.0340021
47.7,0.02615,0.0398573,0.0341279
47.8,0.0262796,0.0396028,0.0342563
47.9,0.026407,0.0393482,0.0343873
48,0.0265323,0.0390938,0.0345207
48.1,0.0266552,0.0388394,0.0346568
48.2,0.0267758,0.0385852,0.0347953
48.3,0.0268941,0.0383312,0.0349364
48.4,0.0270098,0.0380776,0.0350799
48.5,0.0271231,0.0378243,0.035226
48.6,0.0272338,0.0375715,0.0353745
48.7,0.0273418,0.0373193,0.0355255
48.8,0.0274472,0.0370676,0.0356789
48.9,0.0275499,0.0368165,0.0358347
49,0.0276498,0.0365662,0.0359929
49.1,0.0277469,0.0363167,0.0361535
49.2,0.0278411,0.036068,0.0363165
49.3,0.0279324,0.0358202,0.0364818
49.4,0.0280207,0.0355734,0.0366495
49.5,0.028106,0.0353276,0.0368194
49.6,0.0281883,0.0350829,0.0369916
49.7,0.0282675,0.0348394,0.037166
49.8,0.0283435,0.034597,0.0373427
49.9,0.0284164,0.034356,0.0375215
50,0.0284861,0.0341162,0.0377025
50.1,0.0285525,0.0338778,0.0378857
50.2,0.0286157,0.0336409,0.0380709
50.3,0.0286756,0.0334055,0.0382582
50.4,0.0287321,0.0331716,0.0384476
50.5,0.0287854,0.0329392,0.0386389
50.6,0.0288352,0.0327085,0.0388323
50.7,0.0288817,0.0324795,0.0390275
50.8,0.0289247,0.0322523,0.0392247
50.9,0.0289643,0.0320268,0.0394237
51,0.0290005,0.0318031,0.0396246
51.1,0.0290332,0.0315813,0.0398272
51.2,0.0290625,0.0313615,0.0400316
51.3,0.0290882,0.0311435,0.0402377
51.4,0.0291105,0.0309276,0.0404455
51.5,0.0291293,0.0307137,0.0406548
51.6,0.0291446,0.0305018,0.0408658
