Time,Species.1,Species.2,Species.3,Species.4,Species.5,Species.6,Species.7
14.3,31.6228,7.24003,0.229886,0.000925315,0.866757,0.03474,1.16355
14.4,31.6228,7.2408,0.24365,0.00106212,0.864399,0.0366622,1.16208
14.5,31.6228,7.24143,0.258174,0.00121847,0.861883,0.0386861,1.16052
14.6,31.6228,7.24195,0.273489,0.001397,0.859207,0.0408167,1.15887
14.7,31.6228,7.24238,0.289631,0.00160068,0.856372,0.043059,1.15713
14.8,31.6228,7.24273,0.306634,0.00183283,0.853372,0.0454182,1.15529
14.9,31.6228,7.24302,0.324533,0.00209719,0.850203,0.0478997,1.15336
15,31.6228,7.24326,0.343364,0.0023979,0.846862,0.0505091,1.15132
15.1,31.6228,7.24345,0.363161,0.00273962,0.843341,0.0532521,1.14918
15.2,31.6228,7.24361,0.383959,0.00312749,0.839637,0.0561345,1.14692
15.3,31.6228,7.24375,0.405793,0.00356722,0.835744,0.0591625,1.14456
15.4,31.6228,7.24386,0.428695,0.00406513,0.831658,0.0623422,1.14208
15.5,31.6228,7.24395,0.452699,0.00462817,0.827374,0.06568,1.13949
15.6,31.6228,7.24402,0.477836,0.00526401,0.822888,0.0691823,1.13678
15.7,31.6228,7.24408,0.504135,0.00598102,0.818197,0.0728556,1.13394
15.8,31.6228,7.24413,0.531624,0.00678836,0.8133,0.0767067,1.13099
15.9,31.6228,7.24417,0.560329,0.00769598,0.808193,0.0807422,1.12792
16,31.6228,7.2442,0.590272,0.00871468,0.802876,0.084969,1.12473
16.1,31.6228,7.24423,0.621473,0.00985609,0.79735,0.0893938,1.12142
16.2,31.6228,7.24425,0.653948,0.0111327,0.791615,0.0940236,1.11799
16.3,31.6228,7.24427,0.68771,0.012558,0.785674,0.098865,1.11445
16.4,31.6228,7.24429,0.722768,0.0141461,0.779532,0.103925,1.1108
16.5,31.6228,7.2443,0.759124,0.0159122,0.773192,0.10921,1.10704
16.6,31.6228,7.24431,0.796779,0.017872,0.766662,0.114726,1.10319
16.7,31.6228,7.24432,0.835724,0.0200423,0.759951,0.120481,1.09923
16.8,31.6228,7.24433,0.875949,0.0224402,0.753068,0.126479,1.09519
16.9,31.6228,7.24433,0.917436,0.0250836,0.746024,0.132727,1.09108
17,31.6228,7.24434,0.960159,0.0279908,0.738833,0.139231,1.08689
17.1,31.6228,7.24434,1.00409,0.0311803,0.731511,0.145995,1.08265
17.2,31.6228,7.24434,1.04919,0.0346707,0.724074,0.153025,1.07837
17.3,31.6228,7.24435,1.09541,0.0384806,0.716541,0.160324,1.07405
17.4,31.6228,7.24435,1.14271,0.0426283,0.708932,0.167896,1.06972
17.5,31.6228,7.24435,1.19102,0.0471317,0.70127,0.175745,1.06539
17.6,31.6228,7.24435,1.24029,0.0520078,0.693579,0.183872,1.06107
17.7,31.6228,7.24435,1.29043,0.0572725,0.685883,0.19228,1.05679
17.8,31.6228,7.24435,1.34139,0.0629408,0.678209,0.20097,1.05256
17.9,31.6228,7.24436,1.39307,0.0690257,0.670586,0.20994,1.04839
18,31.6228,7.24436,1.44539,0.0755388,0.663042,0.219191,1.04432
18.1,31.6228,7.24436,1.49825,0.0824893,0.655607,0.228721,1.04035
18.2,31.6228,7.24436,1.55156,0.0898844,0.648313,0.238527,1.03652
18.3,31.6228,7.24436,1.60523,0.0977286,0.641189,0.248605,1.03283
18.4,31.6228,7.24436,1.65914,0.106024,0.634267,0.25895,1.02931
18.5,31.6228,7.24436,1.71319,0.114769,0.627579,0.269556,1.02597
18.6,31.6228,7.24436,1.76729,0.123961,0.621156,0.280416,1.02284
18.7,31.6228,7.24436,1.82132,0.133591,0.615029,0.291521,1.01993
18.8,31.6228,7.24436,1.87518,0.143652,0.609227,0.302862,1.01726
18.9,31.6228,7.24436,1.92877,0.154128,0.603779,0.314428,1.01485
19,31.6228,7.24436,1.98198,0.165006,0.598713,0.326207,1.01271
19.1,31.6228,7.24436,2.03472,0.176265,0.594056,0.338187,1.01084
19.2,31.6228,7.24436,2.08689,0.187885,0.589832,0.350352,1.00927
19.3,31.6228,7.24436,2.13841,0.199841,0.586064,0.362688,1.00799
19.4,31.6228,7.24436,2.18917,0.212109,0.582774,0.375179,1.00703
19.5,31.6228,7.24436,2.23912,0.22466,0.579978,0.387807,1.00637
19.6,31.6228,7.24436,2.28816,0.237465,0.577695,0.400556,1.00604
19.7,31.6228,7.24436,2.33623,0.250494,0.575937,0.413406,1.00602
19.8,31.6228,7.24436,2.38327,0.263714,0.574716,0.426339,1.00631
19.9,31.6228,7.24436,2.42923,0.277094,0.57404,0.439334,1.00691
20,31.6228,7.24436,2.47404,0.290601,0.573914,0.452371,1.00783
20.1,31.6228,7.24436,2.51768,0.304204,0.57434,0.465431,1.00904
20.2,31.6228,7.24436,2.56011,0.317869,0.575318,0.478493,1.01054
20.3,31.6228,7.24436,2.60129,0.331565,0.576843,0.491537,1.01233
20.4,31.6228,7.24436,2.64121,0.345263,0.57891,0.504541,1.01438
20.5,31.6228,7.24436,2.67984,0.358934,0.581507,0.517486,1.01669
20.6,31.6228,7.24436,2.71718,0.372548,0.584621,0.530353,1.01924
20.7,31.6228,7.24436,2.75322,0.38608,0.588236,0.543122,1.02202
20.8,31.6228,7.24436,2.78797,0.399505,0.592334,0.555774,1.025
20.9,31.6228,7.24436,2.82141,0.412801,0.596892,0.568291,1.02818
21,31.6228,7.24436,2.85358,0.425946,0.601886,0.580657,1.03154
21.1,31.6228,7.24436,2.88447,0.438921,0.607289,0.592854,1.03505
